,repo,description,owner,version,wc_url,updated_at,stars,forks,screenshot_url,samplecode_url,supported_browsers,rating,comment,external,status
832,dom-bind-notifier,Notifies Polymer 1.x template binding (dom-bind) with puppet changes,Juicy,1.2.1,,2017-01-10 12:39:34,0,0,,,,,,,
833,button-pulse,Button pulse web component,henrykode,v1.0.1,,2017-03-15 17:45:46,0,0,,,,,,,
834,discovery-api-elements,Automatically generated Polymer elements to access Google Apis,Scarygami,0.5.0,,2017-05-19 08:00:59,12,4,,,,,,,
835,discovery-api-docs,Docs for elements created via discovery-api-elements to help with developing.,Scarygami,0.5.0,,2016-06-09 14:25:42,0,1,,,,,,,
836,canvas-piechart,A Polymer-element for drawing a Piechart on HTML5 Canvas,timeu,v2.0.0,,2017-05-25 13:30:12,2,2,,,,,,,
837,gold-iban-input,Material Design paper input for IBAN,ttretau,0.0.2,,2017-05-29 21:04:34,0,0,,,,,,,
838,timeu-wizard,A Polymer element for displaying the progress in a multi-step wizard,timeu,v2.0.0,,2017-07-17 07:00:21,9,6,,,,,,,
839,css-piechart,A Polymer-element for drawing a Piechart using CSS3 and DOM,timeu,v2.0.0,,2017-05-25 13:30:01,3,2,,,,,,,
840,plutonium-breadcrumbs,Breandcrumbs Polymer 1.0 UI component for Plutonium library.,lordoftheflies,0.1.2,,2017-03-22 23:46:50,0,0,,,,,,,
841,digital-clock,A simple digital-clock component,telecomsante,v1.0.2,,2017-04-06 18:56:20,2,0,,,,,,,
842,google-analytics,Google Analytics web components,GoogleWebComponents,v1.2.3,,2017-07-12 13:28:23,142,68,,,,,,,
843,svg-piechart,A Polymer-element for drawing a Piechart using SVG,timeu,v2.0.0,,2017-05-25 10:02:05,8,3,,,,,,,
844,tsante-mqtt,A mqtt webcomponent,telecomsante,v1.2.0,,2017-06-02 12:06:44,4,1,,,,,,,
845,polymer-quill,A custom build of the Quill Rich Text Editor to support Polymer web components.,arsnebula,v1.2.4,,2017-07-15 13:26:47,8,0,,,,,,,
846,lrndesign-contentsequencer,A fork of google-codelab to implement content in a sequence.,LRNWebComponents,0.0.2,,2017-04-03 19:22:21,0,0,,,,,,,
847,surebet-calculator,Surebet calculator for sports betting powered by Google Polymer ,bc-bFloyd,v1.0.1,,2017-04-25 14:51:09,0,0,,,,,,,
848,on-page,A router for web components. Render a template when the page matches a route. When you're on a page. That's it.,matthewp,v0.3.1,,2017-01-17 17:36:04,2,0,,,,,,,
849,parallax-element,"A Polymer element allowing to declaratively create simple vertical or horizontal parallax scrolling effects, working on desktop and mobile. It features built-in deactivation of the effect in browsers (IE) that do not fully support the CSS transformations leveraged to achieve the parallax scrolling.",vguillou,v1.1.1,,2017-06-02 15:28:50,23,2,,,,,,,
850,time-display,Time display and time-diff (timeago) elements for Polymer,CaptainCodeman,v0.0.2,,2017-05-21 10:07:12,8,2,,,,,,,
851,tk-app-local-user,,cloudgz,v0.1.3,,2017-01-04 09:46:49,0,0,,,,,,,
852,viz-js,Polymer element providing solution to render Graphviz on the web. Uses the https://github.com/mdaines/viz.js,tzolov,v0.0.4,,2016-12-22 10:30:36,4,2,,,,,,,
853,bbx-linear-gauge,Simple Polymer element to create linear gauge,BBx-Kitchen,0.3.1,,2017-05-17 16:27:44,1,0,,,,,,,
854,matrix-layout,A custom element and a style useful to create responsive and fluid grid layouts,leodido,v0.9.5,,2017-06-09 10:04:29,3,2,,,,,,,
